score,tourney_date
6-2 3-6 7-5,19900205
6-2 6-2,19900205
2-6 6-0 6-1,19900205
7-6 6-4,19900205
2-6 6-4 6-2,19900205
4-6 6-2 7-6,19900205
6-4 6-2,19900205
6-4 7-6,19900205
6-2 6-2,19900205
6-1 6-3,19900205
6-2 6-3,19900409
4-6 7-6 7-6,19900409
6-4 7-6,19900409
6-3 2-6 6-2,19900409
6-3 6-3,19900409
6-2 6-4,19900409
6-2 4-6 7-5,19900409
6-1 6-2,19900409
6-2 3-6 7-5,19900409
6-2 6-7 6-3,19900409
6-4 6-4,19900409
7-5 7-6,19900409
6-7 6-4 6-4,19900409
5-7 6-3 6-4,19900409
7-5 6-4,19900409
3-1 RET,19900409
7-6 4-6 6-3,19900409
6-1 6-2,19900409
6-4 6-4,19900409
6-3 6-3,19900409
6-4 6-2,19900409
6-4 6-2,19900409
6-3 6-2,19900409
7-6 6-4,19900409
5-7 6-3 7-6,19900409
6-3 3-6 7-5,19900409
6-3 6-2,19900409
6-4 1-6 6-3,19900409
4-6 7-6 7-6,19900409
6-4 7-6,19900409
6-2 2-0 RET,19900409
7-6 0-6 6-4,19900409
6-3 4-6 6-1,19900409
7-5 6-3,19900409
6-2 6-2,19900409
6-3 6-1,19900409
3-6 6-1 6-2,19900409
6-3 6-4,19900409
7-6 6-2,19900409
6-1 7-6,19900409
3-6 6-3 6-3,19900409
6-4 6-0,19900409
6-1 6-4,19900409
6-4 6-1,19900409
6-2 6-3,19900409
W/O,19900409
6-2 7-5,19900409
6-3 3-6 6-3,19900409
6-2 6-4,19900409
3-6 6-3 7-6,19900409
5-7 6-4 6-4,19900409
6-4 6-4,19900409
6-3 7-5,19900409
7-5 7-6,19900409
6-0 7-6 3-6 0-6 6-2,19900409
6-3 6-3,19901001
6-1 6-4,19901001
6-3 6-3,19901001
6-3 6-0,19901001
6-4 6-4,19901001
6-7 6-3 6-4,19901001
6-2 6-4,19901001
6-3 2-6 6-4,19901001
7-6 6-4,19901001
6-7 6-2 6-3,19901001
2-6 6-1 7-5,19901001
6-4 6-0,19901001
6-2 6-3,19901001
6-7 7-6 6-2,19901001
7-6 6-3,19901001
6-3 6-4,19901001
6-3 6-2,19901001
6-3 3-6 6-3,19901001
4-6 6-0 6-2,19901001
7-6 6-2,19901001
6-0 3-6 6-3,19901001
3-6 6-3 6-3,19901001
7-5 6-3,19901001
4-6 6-1 6-4,19901001
7-6 6-0,19901001
7-6 6-4,19901001
6-4 6-1,19901001
7-6 6-3,19901001
6-2 6-3,19901001
4-6 6-4 6-3,19901001
6-3 2-6 7-6,19901001
6-2 7-5,19901001
6-2 7-6,19901001
7-5 3-6 6-3,19901001
7-6 4-6 6-2,19901001
6-2 6-4,19901001
5-7 7-5 6-4,19901001
6-3 4-6 6-3,19901001
7-5 6-3,19901001
6-4 6-3,19901001
6-2 7-6,19901001
6-2 7-6,19901001
7-6 2-6 6-1,19901001
6-4 6-4,19901001
3-6 7-6 6-3,19901001
7-5 6-4,19901001
7-6 6-4 6-4,19901001
6-3 7-5,19900813
6-3 7-6,19900813
6-1 6-2,19900813
6-3 6-0,19900813
6-4 6-2,19900813
6-4 4-6 7-6,19900813
6-1 6-0,19900813
7-5 6-0,19900813
1-6 7-5 6-3,19900813
1-6 6-3 6-4,19900813
7-6 6-4 6-3,19900813
6-3 3-6 6-2,19900813
7-5 6-3,19900813
7-6 5-7 6-1,19900813
6-3 7-5,19900813
6-1 6-1,19900813
6-3 7-6,19900813
6-4 6-2,19900813
4-6 7-6 6-2,19900813
6-1 6-3,19900813
3-6 6-4 6-1,19900813
6-4 6-1,19900813
6-2 3-6 4-1 RET,19900813
6-3 6-3,19900813
6-2 6-3,19900813
6-2 6-4,19900813
6-1 2-6 6-4,19900813
4-6 6-4 7-6,19900813
6-3 1-6 6-3,19900813
3-6 7-6 6-3,19900813
4-6 7-6 7-5,19900813
6-1 7-6,19900813
6-2 6-2,19900813
6-3 6-2,19900813
6-3 6-2,19900813
6-4 6-4,19900813
4-6 6-4 6-3,19900813
6-4 6-2,19900813
6-1 6-4,19900813
7-5 5-7 6-1,19900813
6-4 3-6 7-6,19900813
6-3 3-6 6-4,19900813
6-4 6-4,19900813
6-7 6-3 6-3,19900813
7-6 6-3,19900813
5-7 7-6 6-3,19900813
6-2 6-2,19900813
7-5 6-7 7-6,19900813
7-5 6-2,19900813
7-6 3-6 7-5,19900813
6-2 6-1,19900813
7-5 6-0,19900813
1-6 6-4 6-3,19900813
7-6 6-3,19900813
6-3 6-3,19900813
6-4 6-2,19900723
7-6 6-2,19900723
5-7 7-5 6-3,19900723
6-4 6-4,19900723
6-4 6-4,19900723
6-2 6-2,19900723
6-1 4-6 7-6,19900723
4-6 6-3 6-0,19900723
7-6 4-6 6-1,19900723
7-5 6-7 6-4,19900723
6-2 6-7 6-2,19900723
4-6 6-2 6-4,19900723
6-4 6-4,19900723
6-3 7-6,19900723
2-6 6-2 6-1,19900723
7-6 6-2,19900723
2-6 6-0 6-1,19900723
6-1 6-4,19900723
6-3 6-2,19900723
6-1 7-5,19900723
6-4 7-6,19900723
3-6 6-4 6-3,19900723
7-6 6-4,19900723
3-6 7-6 6-4,19900723
6-3 6-7 6-3,19900723
6-4 6-4,19900723
6-2 6-4,19900723
6-2 6-3,19900723
7-6 6-1,19900723
6-2 6-2,19900723
7-6 6-3,19900723
6-3 6-2,19900723
6-3 6-2,19900723
6-3 2-6 6-2,19900723
6-2 6-2,19900723
6-2 6-4,19900723
5-7 6-4 6-4,19900723
4-1 RET,19900723
2-6 7-5 6-2,19900723
7-5 4-6 6-2,19900723
6-2 6-4,19900723
6-0 6-3,19900723
6-2 6-4,19900723
4-6 6-3 6-2,19900723
6-3 4-6 6-3,19900723
4-6 6-4 6-1,19900723
7-5 6-1,19900723
6-4 6-4,19900723
4-6 7-5 7-5,19900723
7-6 4-6 6-3,19900723
7-6 6-4,19900723
6-4 6-2,19900723
3-6 7-6 7-5,19900723
3-6 6-2 6-2,19900723
4-6 6-3 7-6,19900723
6-4 7-6,19900806
4-6 6-4 6-4,19900806
6-3 4-6 7-5,19900806
7-6 6-4,19900806
3-6 7-5 6-0,19900806
6-4 6-1,19900806
6-4 6-4,19900806
6-4 3-6 6-3,19900806
1-6 6-4 7-5,19900806
6-3 6-7 6-3,19900806
6-2 3-6 6-4,19900806
6-1 6-3,19900806
7-6 7-5,19900806
7-6 6-7 6-1,19900806
6-4 4-6 7-5,19900806
6-3 6-4,19900806
6-2 6-4,19900806
6-4 7-6,19900806
6-3 3-6 6-3,19900806
